회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
소학레저개발주식회사,Sohak Leisure & Resort Corporation,소학레저개발, ,임정희,기타법인,141311-0007916,227-81-11213,강원도 속초시 노학동 972-6, ,,욕탕업,2003-09-01,12월
솔토황토방(주),"SOLTOHOANGTOBANG. Co.,Ltd,",솔토황토방, ,박명자,기타법인,190111-0046357,608-81-47282,경상남도 김해시 장유면대청리 510,www.ijabove.com,,욕탕업,2002-10-22,12월
재단법인 송강재단,SongGang Foundation,송강재단, ,구자열,기타법인,110122-0107037,120-82-11317,"서울특별시 용산구 한강대로30길 25 (한강로2가, 아스테리움용산) 4층",www.songgang.or.kr,,그 외 기타 협회 및 단체,2013-07-26,12월
재단법인 송원문화재단,songwon foundation,송원문화재단, ,장세욱,기타법인,184322-0000487,617-82-03698,"부산광역시 남구 전포대로 133 3710호 (문현동, IFC부산)",songwonfd.org,,그 외 기타 협회 및 단체,1996-12-28,12월
(주)송촌기업,Song Chon Spa Plus,송촌기업, ,김춘택,기타법인,160111-0158364,305-81-63438,대전광역시 대덕구 송촌동 295-8/10, ,,욕탕업,2003-06-05,12월
(주)수지자동차,suzimotors,수지자동차, ,오세돈,기타법인,134511-0047389,135-81-44360,"경기도 용인시 수지구 풍덕천로190번길 15-4 (풍덕천동, 수지자동차서비스)", ,,자동차 종합 수리업,2001-04-01,12월
수협노량진수산주식회사,SUHYUPNORYANGJIN FISHERIES MARKETING CO,수협노량진수산, ,박세형,기타법인,110111-0348915,108-81-14995,"서울특별시 동작구 노들로 674 (노량진동, 노량진수산물도매시장)",www.susansijang.co.kr,,그 외 기타 분류 안된 개인 서비스업,1983-06-01,12월
재단법인 숨마문화재단,Summa Cultural Foundation,숨마문화재단, ,이양희,기타법인,240122-0004063,621-82-94844,"서울특별시 성동구 독서당로 156 (옥수동, 한남하이츠아파트),상가동 206호", ,,그 외 기타 협회 및 단체,2026-01-12,12월
재단법인 숲과나눔,Korea SHE Foundation,숲과나눔, ,장재연,기타법인,110122-0123273,624-82-00248,"서울특별시 서초구 남부순환로 2606 (양재동, 금정빌딩) 6층",koreashe.org/,,그 외 기타 협회 및 단체,2018-07-04,12월
(주)스카이웨딩컨벤션,SKYWEDDINGCONVENTION,스카이웨딩컨벤션, ,손명윤,기타법인,201111-0043060,411-81-89562,"전라남도 무안군 삼향읍 남악로162번길 110 (남악리, 스카이웨딩컨벤션)", ,,예식장업,2015-01-09,12월
주식회사 스카이장례식장,SKY Funeral Hall,스카이장례식장, ,박화자,기타법인,200111-0339808,410-86-59982,광주광역시 광산구 북문대로 603 (수완동), ,,장례식장 및 장의관련 서비스업,2012-03-27,12월
스카이캐슬,skycastle,스카이캐슬, ,최영,기타법인,134211-0073330,126-81-88549,"경기도 광주시 오포읍 머루숯길 61-33 (신현리, 분당스카이캐슬추모공원)",www.sky-castle.co.kr/,,"화장터 운영, 묘지 분양 및 관리업",2005-07-18,12월
주식회사 스타오토케어 ,Star auto care.,스타오토케어, ,주재형,기타법인,131411-0385502,318-87-00616,경기도 용인시 처인구 포곡읍 금어로 276 (주)스타오토케어, ,,자동차 종합 수리업,2017-03-06,12월
주식회사 스타하우스,"Mstarhouse.Co.,Ltd",스타하우스, ,서은수,기타법인,170111-0330374,502-81-90424,대구광역시 동구 동촌로 316 (방촌동), ,,예식장업,2007-04-12,12월
스토어허브파이오니어3 주식회사,Storhub Pioneer 3 CH,스토어허브파이오니어3, ,박상용,기타법인,110111-7892197,487-88-01882,"서울특별시 송파구 송파대로28길 27 (가락동, 송파성원쌍떼빌)", ,,그 외 기타 달리 분류되지 않은 개인 서비스업,2021-05-25,12월
스토어허브파이오니어7 주식회사,Storhub Pioneer 7 CH,스토어허브파이오니어7, ,박상용,기타법인,110111-8239182,617-88-02202,서울특별시 중구 수표로 37 (저동2가), ,,그 외 기타 달리 분류되지 않은 개인 서비스업,2022-03-22,12월
주식회사 스튜디오클론,STUDIO CLON,스튜디오클론, ,황경섭,기타법인,110111-4201060,105-87-60624,"서울특별시 마포구 매봉산로 45 19층(상암동, KBS미디어센터)", ,,컴퓨터 및 주변 기기 수리업,2011-07-13,12월
(주)스파라쿠아,spalaqua corporation ,스파라쿠아, ,정성진,기타법인,210111-0059305,402-81-78251,"전라북도 전주시 완산구 신촌3길 24 (중화산동2가, 스파라쿠아)",www.spalaqua.com,,욕탕업,2008-02-27,12월
스파마린 주식회사,spamarine,스파마린, ,구본욱,기타법인,180111-0972190,835-88-00118,"부산광역시 해운대구 마린시티2로 33 104동 B107호(우동, 해운대두산위브더제니스)", ,,욕탕업,2015-07-01,12월
주식회사 슬로우포레스트,Slow Forest,슬로우포레스트, ,이정현,기타법인,110111-7355369,293-81-01600,서울특별시 종로구 삼청로5길 20, ,,반려동물 장묘 및 보호 서비스업,2020-02-01,12월
재단법인 승산나눔재단,SEUNGSAN NANUM FOUNDATION,승산나눔재단, ,김영자,기타법인,191122-0003147,605-82-50198,"경상남도 진주시 동부로169번길 12 에이동 1805호(충무공동, 윙스타워)",nanum.sig.co.kr/home,,그 외 기타 협회 및 단체,2017-06-13,12월
주식회사 승익,Seung Ik Co.Ltd,승익, ,김승남,기타법인,170111-0145369,502-81-50607,대구광역시 동구 동촌로11길 38 (검사동),www.weddingrenaissance.co.kr,,예식장업,1999-02-01,12월
승일자동차공업(주),SEUNGIL,승일자동차공업, ,김영목,기타법인,120111-0144238,139-81-30664,"인천광역시 남동구 청능대로 459 (고잔동, 승일자동차정비공장)", ,,자동차 종합 수리업,1996-12-20,12월
(주)시민장례식장,siminfuneralhall,시민장례식장, ,문성훈,기타법인,180111-0458497,605-81-62004,부산광역시 부산진구 자유평화로 31 (범천동), ,,장례식장 및 관련 서비스업,2003-09-01,03월
주식회사 시티필드,City Field,시티필드, ,강은주,기타법인,120111-0979073,277-87-01124,"인천광역시 연수구 컨벤시아대로 233 (송도동, 호텔스카이파크인천송도) 업무동 4층", ,,"화장터 운영, 묘지 분양 및 관리업",2019-01-22,12월
신개발(주),Sin Development Co,신개발, ,전상수,기타법인,110111-6094869,335-81-00394,"서울특별시 영등포구 경인로 900 (영등포동1가, 여의도더리브스타일) 101동1812호", ,,산업 단체,2016-06-20,12월
신대웨딩홀 유한회사,"Sin Dae weddinghall co,ltd",신대웨딩홀, ,최준호,기타법인,200114-0054294,410-87-01094,"광주광역시 서구 죽봉대로 62 (농성동, 아웃백)", ,,예식장업,2014-09-12,12월
신라문화장학재단,SILLA S.F,신라문화장학재단, ,박준형,기타법인,110122-0002021,219-82-00764,서울특별시 송파구 석촌동 286-7, ,,그 외 기타 협회 및 단체,1978-03-11,12월
신북온천주식회사,sinbukspa,신북온천, ,정완용,기타법인,115411-0024902,127-81-42658,경기도 포천군 신북면 덕둔리 635-3, ,,욕탕업,2000-11-27,12월
(주)신성,"SINSUNG CO.,LTD.",신성, ,이기성,기타법인,176011-0080743,513-81-74195,경상북도 구미시 산업로 164 (원평동), ,,예식장업,2013-01-14,12월
신성피와이 주식회사,sinsungpy,신성피와이, ,박건우,기타법인,201311-0030873,416-81-49376,"전라남도 순천시 망산1길 19 (가곡동, 동부웨딩타운)", ,,예식장업,2005-09-01,12월
신유산업(주),"SHINYOO INDUSTRIAL CO.,LTD",신유산업, ,이경훈,기타법인,110111-0804272,122-81-71463,인천광역시 부평구 부평1동 541-4, ,,"화장터 운영, 묘지 분양 및 관리업",2001-09-13,12월
(주)신조씨앤디,SHINJO C&D,신조씨앤디, ,오경환,기타법인,110111-1069982,114-86-29708,서울특별시 강남구 청담동 31-10 청진빌딩 401호, ,,그 외 기타 분류 안된 개인 서비스업,2003-08-01,12월
(주)신진자동차공업사,sinjin motors,신진자동차공업사, ,정완기,기타법인,134111-0078449,123-81-62050,경기도 안양시 만안구 덕천로 51 (안양동), ,,자동차 종합 수리업,2000-10-25,12월
(주)신천지문화센터,Sinchungi Munhwa Center co.kr,신천지문화센터, ,김남일,기타법인,110111-0971427,119-81-13910,서울특별시 금천구 독산동 152-1, ,,예식장업,1993-09-13,12월
(주)신혼프라자, ,신혼프라자, ,서성수,기타법인,170111-0097700,503-81-30244,대구광역시 동구 신천4동 296-10, ,,예식장업,1996-03-30,12월
재단법인 심헌문화재단,Simhun Foundation,심헌문화재단, ,박치영,기타법인,200122-0013582,409-82-12714,"광주광역시 북구 북문대로 161 (운암동, 모아미래도빌딩 3층)",www.simhun.or.kr,,그 외 기타 협회 및 단체,2005-12-02,12월
싸이버테크(주),"cybertech.co.,ltd",싸이버테크, ,조성희,기타법인,200111-0058317,410-81-29576,"광주광역시 동구 동계천로 150 (동명동, I-PLEX광주)", ,,산업 단체,1995-08-04,12월
쌍용자동차 부산정비사업소 주식회사,ssangyoungmotor pusan maintenance,쌍용자동차부산정비사업소, ,엄익찬,기타법인,180111-1083805,581-81-00624,"부산광역시 사상구 대동로239번길 7 (학장동, 쌍용자동차부산정비사업소)", ,,자동차 종합 수리업,2018-02-09,12월
쌍용자동차부평정비사업소(주),SSANGYONG MOTOR BUCHUN MAINTENANCE CENTER,쌍용자동차부평정비사업소, ,김병철,기타법인,124611-0275823,122-81-71804,인천광역시 부평구 청천2동 391-9, ,,자동차 종합 수리업,2002-01-28,12월
쌍용자동차성남정비사업소(주),ssangyong motor seongnam sevice canter,쌍용자동차성남정비사업소, ,유광만,기타법인,131111-0034494,129-81-25844,경기도 성남시 중원구 상대원1동 178번지, ,,자동차 종합 수리업,1998-10-01,12월
쌍용자동차인천정비사업소 주식회사,SsangYong Motor Incheon Service,쌍용자동차인천정비사업소, ,최영구,기타법인,124611-0251443,121-81-44866,인천광역시 동구 송현동 140-11,service.smotor.com/incheon,,자동차 종합 수리업,2001-05-10,12월
쌍용자동차일산정비사업소(주),SSANGYONG MOTOR ILSAN MAINTENANCE CENTER,쌍용자동차일산정비사업소, ,강한염,기타법인,115911-0053399,128-81-60061,"경기도 고양시 일산서구 덕이로 50-16 (덕이동, 쌍용자동차일산정비사업소)", ,,자동차 종합 수리업,2001-06-01,03월
쌍용자동차청주정비사업소(주),ssangyongmotor chengju,쌍용자동차청주정비사업소, ,박정일,기타법인,150111-0056453,301-81-54198,충청북도 청주시 흥덕구 무심서로 785, ,,자동차 종합 수리업,2001-07-19,12월
㈜쌍용자동차평택정비사업소,Ssangyong Motor repair shop in Pyeongtaek,쌍용자동차평택정비사업소, ,전호석,기타법인,134711-0013120,125-81-16396,경기도 평택시 경기대로 161-9 (합정동), ,,자동차 종합 수리업,1995-09-01,12월
썬페트로주식회사,sun petro.co.ltd.,썬페트로, ,이혁수,기타법인,110111-3668518,120-87-14468,서울특별시 강남구 청담동 101-13,-,,그 외 기타 분류 안된 개인 서비스업,2007-05-01,12월
(주)씨앤케이종합서비스,"CNK TOTALL SERVICE CO,LTD",씨앤케이종합서비스, ,김수호,기타법인,110111-3332840,214-87-79766,서울특별시 서초구 효령로53길 39, ,,협회 및 단체,2005-11-01,03월
씨제이엔시티주식회사,"CJ N CITY CO., Ltd. ",씨제이엔시티, ,정문목,기타법인,110111-3350016,106-86-40003,"서울특별시 용산구 남산공원길 105 3층 (용산동2가, N서울타워본관)",www.cjncity.com,,그 외 기타 분류 안된 개인 서비스업,2005-11-28,12월
씨제이엠키친,CJ MKITCHEN,씨제이엠키친, ,안병연,기타법인,134511-0143020,142-81-22326,경기도 용인시 기흥구 하갈동, ,,그 외 기타 분류 안된 개인 서비스업,2009-09-01,12월
아가페라이프(주),-,아가페라이프, ,유경세,기타법인,180111-0203975,606-81-61124,부산광역시 사상구 사상로 330 (덕포동),www.agapelife.co.kr,,기타 개인 서비스업,1996-04-26,12월
아남전자서비스(주),"ANAM Electonics Service Co.,LTD",아남전자서비스, ,김재일,기타법인,120111-0182410,122-81-56443,인천광역시 부평구 청천2동 409-2,www.anames.co.kr,,개인 및 소비용품 수리업,1999-01-04,12월
(주)아르델웨딩컨벤션,Ardel Wedding Convention,아르델웨딩컨벤션, ,이경일,기타법인,161411-0029089,316-81-21613,충청남도 서산시 음암면 서해로 3839 (상홍리), ,,예식장업,2013-04-10,12월
아름다운상조주식회사,"Areumdawoon co.,Ltd",아름다운상조, ,최영찬,기타법인,160111-0199194,305-81-78625,"대전광역시 중구 중앙로122번길 17 (대흥동, 대일빌딩 5층)", ,,장례식장 및 장의관련 서비스업,2005-11-21,12월
(주)아름다운컨벤션,beautifulconvention,아름다운컨벤션, ,여운환,기타법인,200111-0106231,410-81-60562,광주광역시 광산구 상무대로 509 (우산동),www.beautifulconvention.com/,,예식장업,2001-01-01,12월
아모레퍼시픽재단,AMOREPACIFIC FOUNDATION,아모레퍼시픽재단, ,서경배,기타법인,114622-0000427,106-82-05895,"서울특별시 용산구 한강대로 100 (한강로2가, 아모레퍼시픽) 16층",ascf.amorepacific.co.kr/apfoundation.do,,그 외 기타 협회 및 단체,1973-06-01,12월
(주)아모르컨벤션웨딩,"Amor Convention Wedding Co., Ltd.",아모르컨벤션웨딩, ,김주홍,기타법인,134411-0080232,438-88-00902,"경기도 이천시 이섭대천로 921 (율현동, 아모르컨벤션웨딩홀)", ,,예식장업,2018-02-13,12월
(주)아모르컨벤션웨딩,amorcwd,아모르컨벤션웨딩, ,김종태,기타법인,175611-0007283,512-81-11009,"강원특별자치도 원주시 북원로 2888 (태장동, 아모르컨벤션웨딩홀)",www.villadeamor.com/,,예식장업,2005-01-10,12월
주식회사 아산,saan,아산, ,박기수,기타법인,220111-0117391,616-86-21629,제주특별자치도 제주시 비월길 22 1층(연동),sungjun4251@gmail.com,,그 외 기타 협회 및 단체,2014-09-19,12월
아산상조(주),asansangio,아산상조, ,한위숙,기타법인,110111-2711392,215-86-37781,서울특별시 강동구 성내1동 442 두울빌딩2층, ,,장례식장 및 장의관련 서비스업,2003-02-07,12월
재단법인 아산정책연구원,The Asan Institute for Policy Studies,아산정책연구원, ,이준규,기타법인,110122-0045352,101-82-16363,"서울특별시 종로구 경희궁1가길 11 (신문로2가, 아산정책연구소)",www.asaninst.org/,,그 외 기타 협회 및 단체,2008-02-04,12월
아샘자산운용(주),"ASAM Asset Management co., Ltd.",아샘자산운용, ,"김환균, 조철희",기타법인,110111-1295850,201-81-55000,서울특별시 영등포구 여의나루로 53-1 대오빌딩 804호 (여의도동),www.asam4u.com,,그 외 기타 분류 안된 개인 서비스업,1996-07-09,03월
아시아드파크주식회사,ASIADPARK,아시아드파크, ,장석재,기타법인,120111-0913922,849-86-00812,"인천광역시 서구 봉수대로 806 (연희동, 인천아시아드주경기장) 아시아드웨딩컨벤션", ,,예식장업,2018-04-17,12월
(주)아이넷라이프,inetlife,아이넷라이프, ,이승렬,기타법인,134111-0152813,138-81-39828,"서울특별시 서초구 양재천로11길 34 2층(양재동, 아이넷빌딩)", ,,장례식장 및 장의관련 서비스업,2014-08-08,12월
(주) 아이니웨딩네트웍스,INIWEDDING NETWORKS,아이니웨딩네트웍스, ,이성만,기타법인,110111-3906471,211-88-13587,"서울특별시 강남구 언주로130길 35 (논현동, 동양애니메이션빌딩)", ,,결혼 상담 및 준비 서비스업,2008-05-29,12월
아이비코어(주),ivycore,아이비코어, ,강병철,기타법인,200111-0492573,226-88-00707,광주광역시 서구 상무대로 1096 (농성동), ,,자동차 종합 수리업,2017-12-28,12월
